"CubeId";"snbmonagg"
"PublishingDate";"2026-07-21 09:00"

"Date";"D0";"D1";"Value"
"2006-03";"B";"GM1";"282875"
"2006-03";"VV";"GM1";"1.13478321"
"2006-04";"B";"GM1";"284529"
"2006-04";"VV";"GM1";"3.00810948"
"2006-05";"B";"GM1";"281516"
"2006-05";"VV";"GM1";"1.67767661"
"2006-06";"B";"GM1";"279462"
"2006-06";"VV";"GM1";"-1.21212764"
"2006-07";"B";"GM1";"279644"
"2006-07";"VV";"GM1";"-1.28667191"
"2006-08";"B";"GM1";"281023"
"2006-08";"VV";"GM1";"-0.69402481"
"2006-09";"B";"GM1";"280699"
"2006-09";"VV";"GM1";"-2.06135928"
"2006-10";"B";"GM1";"282109"
"2006-10";"VV";"GM1";"-2.27012908"
"2006-11";"B";"GM1";"282646"
"2006-11";"VV";"GM1";"-3.80333604"
"2006-12";"B";"GM1";"278368"
"2006-12";"VV";"GM1";"-4.11056111"
"2007-01";"B";"GM1";"279067"
"2007-01";"VV";"GM1";"-3.40694334"
"2007-02";"B";"GM1";"279024"
"2007-02";"VV";"GM1";"-2.98461795"
"2007-03";"B";"GM1";"269733"
"2007-03";"VV";"GM1";"-4.64586832"
"2007-04";"B";"GM1";"272198"
"2007-04";"VV";"GM1";"-4.33382889"
"2007-05";"B";"GM1";"270133"
"2007-05";"VV";"GM1";"-4.04346467"
"2007-06";"B";"GM1";"267039"
"2007-06";"VV";"GM1";"-4.44532709"
"2007-07";"B";"GM1";"262361"
"2007-07";"VV";"GM1";"-6.18035788"
"2007-08";"B";"GM1";"259683"
"2007-08";"VV";"GM1";"-7.5936845"
"2007-09";"B";"GM1";"261849"
"2007-09";"VV";"GM1";"-6.71537839"
"2007-10";"B";"GM1";"263614"
"2007-10";"VV";"GM1";"-6.55597659"
"2007-11";"B";"GM1";"271207"
"2007-11";"VV";"GM1";"-4.04711194"
"2007-12";"B";"GM1";"271171"
"2007-12";"VV";"GM1";"-2.58542649"
"2008-01";"B";"GM1";"267030"
"2008-01";"VV";"GM1";"-4.31330111"
"2008-02";"B";"GM1";"265317"
"2008-02";"VV";"GM1";"-4.91248065"
"2008-03";"B";"GM1";"266921"
"2008-03";"VV";"GM1";"-1.04251241"
"2008-04";"B";"GM1";"270442"
"2008-04";"VV";"GM1";"-0.64511863"
"2008-05";"B";"GM1";"265328"
"2008-05";"VV";"GM1";"-1.77875343"
"2008-06";"B";"GM1";"260067"
"2008-06";"VV";"GM1";"-2.61085459"
"2008-07";"B";"GM1";"256129"
"2008-07";"VV";"GM1";"-2.37535304"
"2008-08";"B";"GM1";"258484"
"2008-08";"VV";"GM1";"-0.46171679"
"2008-09";"B";"GM1";"260724"
"2008-09";"VV";"GM1";"-0.42963693"
"2008-10";"B";"GM1";"275820"
"2008-10";"VV";"GM1";"4.63025484"
"2008-11";"B";"GM1";"301924"
"2008-11";"VV";"GM1";"11.32603509"
"2008-12";"B";"GM1";"328752"
"2008-12";"VV";"GM1";"21.23420277"
"2009-01";"B";"GM1";"343606"
"2009-01";"VV";"GM1";"28.67692769"
"2009-02";"B";"GM1";"356459"
"2009-02";"VV";"GM1";"34.35211464"
"2009-03";"B";"GM1";"365634"
"2009-03";"VV";"GM1";"36.98210332"
"2009-04";"B";"GM1";"375773"
"2009-04";"VV";"GM1";"38.94772262"
"2009-05";"B";"GM1";"375936"
"2009-05";"VV";"GM1";"41.6872701"
"2009-06";"B";"GM1";"374318"
"2009-06";"VV";"GM1";"43.93137153"
"2009-07";"B";"GM1";"380765"
"2009-07";"VV";"GM1";"48.66141671"
"2009-08";"B";"GM1";"383099"
"2009-08";"VV";"GM1";"48.20994723"
"2009-09";"B";"GM1";"385113"
"2009-09";"VV";"GM1";"47.70907166"
"2009-10";"B";"GM1";"390946"
"2009-10";"VV";"GM1";"41.73954028"
"2009-11";"B";"GM1";"398081"
"2009-11";"VV";"GM1";"31.84808097"
"2009-12";"B";"GM1";"396659"
"2009-12";"VV";"GM1";"20.65599601"
"2010-01";"B";"GM1";"399521"
"2010-01";"VV";"GM1";"16.27299873"
"2010-02";"B";"GM1";"398750"
"2010-02";"VV";"GM1";"11.86419757"
"2010-03";"B";"GM1";"400870"
"2010-03";"VV";"GM1";"9.63695936"
"2010-04";"B";"GM1";"408033"
"2010-04";"VV";"GM1";"8.58497018"
"2010-05";"B";"GM1";"417864"
"2010-05";"VV";"GM1";"11.15296221"
"2010-06";"B";"GM1";"420657"
"2010-06";"VV";"GM1";"12.379581"
"2010-07";"B";"GM1";"421899"
"2010-07";"VV";"GM1";"10.80298872"
"2010-08";"B";"GM1";"423065"
"2010-08";"VV";"GM1";"10.43229035"
"2010-09";"B";"GM1";"423977"
"2010-09";"VV";"GM1";"10.09158351"
"2010-10";"B";"GM1";"427994"
"2010-10";"VV";"GM1";"9.47650059"
"2010-11";"B";"GM1";"434220"
"2010-11";"VV";"GM1";"9.07830316"
"2010-12";"B";"GM1";"432756"
"2010-12";"VV";"GM1";"9.10025992"
"2011-01";"B";"GM1";"432825"
"2011-01";"VV";"GM1";"8.33598234"
"2011-02";"B";"GM1";"435485"
"2011-02";"VV";"GM1";"9.21253918"
"2011-03";"B";"GM1";"434890"
"2011-03";"VV";"GM1";"8.48654177"
"2011-04";"B";"GM1";"441662"
"2011-04";"VV";"GM1";"8.24173535"
"2011-05";"B";"GM1";"443296"
"2011-05";"VV";"GM1";"6.08619072"
"2011-06";"B";"GM1";"438773"
"2011-06";"VV";"GM1";"4.30659659"
"2011-07";"B";"GM1";"441906"
"2011-07";"VV";"GM1";"4.74213023"
"2011-08";"B";"GM1";"465179"
"2011-08";"VV";"GM1";"9.95449872"
"2011-09";"B";"GM1";"470320"
"2011-09";"VV";"GM1";"10.93054576"
"2011-10";"B";"GM1";"476112"
"2011-10";"VV";"GM1";"11.24268097"
"2011-11";"B";"GM1";"476649"
"2011-11";"VV";"GM1";"9.77131408"
"2011-12";"B";"GM1";"482297"
"2011-12";"VV";"GM1";"11.44779044"
"2012-01";"B";"GM1";"482958"
"2012-01";"VV";"GM1";"11.58274129"
"2012-02";"B";"GM1";"481882"
"2012-02";"VV";"GM1";"10.6540983"
"2012-03";"B";"GM1";"480047"
"2012-03";"VV";"GM1";"10.38354526"
"2012-04";"B";"GM1";"483599"
"2012-04";"VV";"GM1";"9.49527014"
"2012-05";"B";"GM1";"487557"
"2012-05";"VV";"GM1";"9.98452501"
"2012-06";"B";"GM1";"498579"
"2012-06";"VV";"GM1";"13.63028263"
"2012-07";"B";"GM1";"509836"
"2012-07";"VV";"GM1";"15.37204745"
"2012-08";"B";"GM1";"518162"
"2012-08";"VV";"GM1";"11.38980908"
"2012-09";"B";"GM1";"522052"
"2012-09";"VV";"GM1";"10.99931961"
"2012-10";"B";"GM1";"527023"
"2012-10";"VV";"GM1";"10.69307222"
"2012-11";"B";"GM1";"531588"
"2012-11";"VV";"GM1";"11.52609153"
"2012-12";"B";"GM1";"536921"
"2012-12";"VV";"GM1";"11.32580132"
"2013-01";"B";"GM1";"535128"
"2013-01";"VV";"GM1";"10.80218156"
"2013-02";"B";"GM1";"537330"
"2013-02";"VV";"GM1";"11.5065514"
